mz,Formula,SMID,attachments on glucose,anomeric,acylation1_2C,acylation2_6C,class_2C,class_6C,Stable isotope labeling,rt_minutes,cest-1.2_A,cest-1.2_B,cest-1.2_C,cest-1.2_D,cest-2.1_A,cest-2.1_B,cest-2.1_C,cest-2.1_D,N2_A,N2_B,N2_C,N2_D
298.09323,C13H17NO7,angl#1,anthranilic acid,anthranilate,NA,NA,,,,6.14,327818.5079,456334.9197,703068.8595,384411.3704,173554.2936,316326.1768,1205128.61,399278.6334,230016.6096,219892.3757,346277.585,263560.1809
483.08047,C19 H21 O11 N2 P,angl#101,anthranilic acid nicotinic acid,anthranilate,nicotinic_acid,NA,AA,,,7.46,23260.3934,33185.0218,9021.897104,17386.56324,1368462.862,1916846.169,2051117.125,1591035.3,2154578.219,1991757.557,1407772.14,1370163.292
434.08522,C16H22NO11P,angl#12,anthranilic acid propionic acid,anthranilate,propionic_acid,NA,SCFA,,,8.42,480.5167408,549.0631916,0,791.3399009,113263.3863,206492.6388,190966.563,147503.314,230443.661,166333.4351,242549.9564,98657.80117
482.08522,C20 H22 O11 N P,angl#161,anthranilic acid benzoic acid,anthranilate,benzoic_acid,NA,AA,,,9.37,8243.410429,10103.73686,5832.499043,15611.03226,3966456.625,6720370.657,5046387.58,4721332.878,7491785.746,6543597.418,4741476.696,2901267.41
542.14274,C23 H30 O12 N P,angl#18,anthranilic acid tiglic acid (x2),anthranilate,tiglic_acid,tiglic_acid,Unsat_OA,Unsat_OA,,11.76,1531810.572,1743025.904,1318075.937,1357128.39,1736280.123,3108109.802,3523681.064,2987571.005,1996845.002,1390272.463,2059857.965,2659792.699
553.12234,C23 H27 O12 N2 P,angl#19,anthranilic acid nicotinic acid isovaleric acid,anthranilate,nicotinic_acid,isovaleric_acid,AA,SCFA,,10.62,7061.816279,8577.113379,9084.072609,8211.102937,53230.37468,101695.8878,116081.2749,108909.3829,135657.8478,82405.86019,107976.7905,132135.8863
378.05956,C13H18NO10P,angl#2,,anthranilate,NA,NA,,,,6.01,37217620.53,49692608.47,53501285.93,89915003.16,31963248.98,52189133.75,80982991.04,63315051.5,39250156.2,26923682.77,56783783.16,54473858.36
566.14274,C25 H30 O12 N P,angl#22,anthranilic acid phenylacetic acid butyric acid,anthranilate,phenylacetic_acid,butyric_acid,AA,SCFA,,9.85,0,1679.61339,1503.810161,1291.331737,192897.1896,390655.1082,195798.841,204462.324,269109.3036,218606.7126,184667.5501,119916.1295
559.11177,C25 H25 O11 N2 P,angl#23,antrhanilic acid nicotinic acid pyrrolic acid,anthranilate,nicotinic_acid,pyrrolic_acid,AA,AA,,9.11,0,556.5384505,0,0,62762.64726,86178.86944,32325.55227,35331.31922,80115.52782,81649.04007,21371.55527,22158.78565
579.13799,C25 H29 O12 N2 P,angl#26,anthranilic acid (x2) tiglic acid,anthranilate,anthranilic_acid,tiglic_acid,AA,Unsat_OA,,11.53,1909.313471,1553.940242,1684.293967,1739.730016,1306240.797,2635278.43,2483581.434,2347787.282,3045191.635,2090733.523,3317605.844,3151385.568
587.10669,C26H25N2O12P,angl#27,anthranilic acid benzoic acid nicotonic acid,anthranilate,benzoic_acid,nicotinic_acid,AA,AA,,10.18,0,0,0,0,871941.3229,1585120.382,1230223.667,957490.8487,1506780.618,1321878.59,734680.4226,888130.7384
588.10194,C25 H24 O12 N3 P,angl#30,anthranilic acid nicotinic acid (x2),anthranilate,nicotinic_acid,nicotinic_acid,AA,AA,,8.8,1411.159249,2069.774645,0,0,421689.3903,617217.981,502237.76,387501.6577,642170.8032,620791.3768,292648.8679,484991.9369
601.12234,C27 H29 O12 N2 P,angl#32,anthranilic acid (x2) benzoic acid,anthranilate,benzoic_acid,benzoic_acid,AA,AA,,11.8,0,678.7870388,0,581.2211077,461783.2621,807346.8271,482761.3598,501653.8975,1101843.788,907345.6625,841041.5272,480340.2231
607.16929,C27 H33 O12 N2 P,angl#34,anthranilic acid tiglic acid phenyalanine,anthranilate,tiglic_acid,phenylalanine,Unsat_OA,AA,,7.86,539.6740425,0,697.4061025,0,339156.9675,571155.5554,554809.4215,610082.1398,388182.8091,378133.7963,664181.5628,608573.6115
616.13324,C27H28N3O12P,angl#36,anthranilic acid (x3),anthranilate,anthranilic_acid,anthranilic_acid,AA,AA,,11.44,0,0,0,0,304319.7242,667106.4663,487423.0576,482507.2561,897616.8374,617452.2324,941999.444,831643.8559
629.15364,C29 H31 O12 N2 P,angl#38,anthranilic acid phenylalanine benzoic acid,anthranilate,phenylalanine,benzoic_acid,AA,AA,,8.08,0,549.0199806,767.7578167,0,295435.0285,498769.8773,192305.7415,290487.3088,417327.6625,528029.1803,386032.1952,177055.9546
497.09667,C20H22N2O11P-,angl#4,,anthranilate,NA,NA,,,,9.89,3790299.751,4808507.005,3846870.854,9808481.244,4710650.696,7364906.19,9843625.753,9127862.158,5782286.828,3540748.939,10103556.94,13858054.07
679.26319,C32 H45 O12 N2 P,angl#40,anthranilic acid (x2) 12:0,anthranilate,anthranilic_acid,FA_12:0,AA,FA,,9.2,0,485.822351,0,0,108214.5699,168771.3628,122390.3783,126776.6627,206789.2938,175841.6408,132360.9702,92524.32084
564.12709,C25 H28 O12 N P,angl#42,anthranilic acid tiglic acid benzoic acid,anthranilate,benzoic_acid,tiglic_acid,AA,Unsat_OA,,11.88,0,0,0,0,2931710.931,5100739.67,3278178.913,3752474.209,5373746.344,4024052.368,3621189.796,2307936.429
583.1329,C24 H29 O13 N2 P,angl#44,anthranilic acid (x2) hydroxybutyric acid,anthranilate,anthranilic_acid,hydroxybutyric_acid,AA,AA,,10.95,0,0,0,0,1451582.275,2611304.66,1195671.777,1280439.709,2278355.88,2292413.829,1363302.056,1121497.571
448.10087,C17 H24 O11 N P,angl#45,anthranilic acid isovaleric acid,anthranilate,anthranilic_acid,isovaleric_acid,AA,SCFA,,8.64,0,487.26028,0,908.6965336,18572.50756,35228.75285,47884.99692,34894.83668,27973.05915,20240.51476,20177.22731,26128.76328
617.11725,C27 H27 O13 N2 P,angl#47,anthranilic acid (x2) hydroxybenzoic acid,anthranilate,hydroxybenzoic_acid,anthranilic_acid,AA,AA,,10.53,0,0,0,0,24073.46386,36489.31857,30346.27314,33653.06202,100590.2092,72654.85171,73533.13943,78207.52507
