"","ens_gene","target_id","pval","qval","b","se_b","mean","var","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"4","WBGene00018335","F42A9.6",7.22714606380522e-28,3.03070370185672e-24,-0.83347685098113,0.0761695629148188,6.91860386544231,0.215367261113987,0.0011704493766783,0.00753225409527353,0.00509838674078122,0.00753225409527353
"7","WBGene00020408","T10D4.6",2.75487024558737e-20,6.60145621421179e-17,-1.05622615061217,0.114457656016965,6.89477656983711,0.350404770396179,0.00110396792534373,0.0185468646060031,0.00512708870377124,0.0185468646060031
"8","WBGene00016953","C55C3.3",5.48671138177065e-19,1.15042620897276e-15,-0.952804777887836,0.10703309833461,5.36327606452393,0.280028738357268,0.00686730679179268,0.00272976186758386,0.0103168194168669,0.0103168194168669
"11","WBGene00010370","ctg-1",1.81947495628761e-07,0.00027745339015244,-0.329333495593688,0.0631282604407809,7.25033318794982,0.0344756449958817,0.00115410311081335,0.00126774638905434,0.00482366278860523,0.00482366278860523
"12","WBGene00000373","cyp-14A5",6.194440917489e-07,0.000865879599583004,-0.387215822377374,0.0776753467299163,6.10763522474296,0.0509640826569658,0.0021549772689496,0.00532409113998774,0.00689521196546948,0.00689521196546948
"13","WBGene00011330","T01D3.6",8.67243440721312e-07,0.0011190108826661,-0.289936081631822,0.0589349729102241,7.66648890761958,0.027286294709446,0.000510468874979321,0.00207380022482243,0.00469952767291395,0.00469952767291395
"15","WBGene00045366","Y17D7C.3",3.56809077766144e-06,0.00399007698029953,-0.527374605446792,0.113779101880646,5.50893693048591,0.0989720131707685,0.00427816454353993,0.0151403614936097,0.00947251903903879,0.0151403614936097
"16","WBGene00021986","Y59C2A.3",4.61016506355755e-06,0.00483318179850715,-0.320325730240131,0.0699128179412392,6.46703299522097,0.0324944809372101,0.00143349884686437,0.0007063872794458,0.00589820432186291,0.00589820432186291
"17","WBGene00013559","Y75B8A.28",6.42438728302639e-06,0.00598681512697137,-0.651254543353785,0.144340936645066,5.26533366974478,0.152240911261574,0.00732477631334955,0.023926682674013,0.0109295608597461,0.023926682674013
"19","WBGene00012583","clec-4",8.44009970729134e-06,0.00745127539421605,-0.78279015729696,0.175761559311847,4.97730158607862,0.220898679986378,0.00866109289079041,0.0376770957068077,0.0129237927573001,0.0376770957068077
"20","WBGene00006498","ten-1",9.83238134840095e-06,0.00754156028536167,-0.281356567618251,0.063643422289631,7.71340114223111,0.0253206962957341,0.001376706001892,0.000588595064554135,0.00469902179921246,0.00469902179921246
"21","WBGene00009397","clec-66",9.05219820220838e-06,0.00754156028536167,-0.436514720844063,0.0983438752567853,5.59245461262892,0.0687693518146979,0.00383450772296174,0.0106727689778215,0.00902600279661494,0.0106727689778215
"22","WBGene00006870","vab-3",9.89116050303784e-06,0.00754156028536167,-0.58383444744568,0.132103015364657,4.75297471828316,0.116087994004043,0.0114394045688656,0.00584708967711283,0.0147374054337865,0.0147374054337865
"23","WBGene00013006","lin-38",1.80755371771385e-05,0.0131825678525792,-0.272358358192431,0.0635249104160463,7.12377037526813,0.0270962196752231,0.000746649475703907,0.00530647188934615,0.00490415528669215,0.00530647188934615
"26","WBGene00001368","exc-7",2.84171835998166e-05,0.0183334552962817,-0.355493189105686,0.084928509817659,5.84043106128461,0.0453505539418075,0.00295287418144413,0.00634454043311591,0.00786640348832817,0.00786640348832817
"30","WBGene00000397","cdh-5",3.99022846397691e-05,0.0223106974182496,-0.457708080956912,0.111417501910442,5.09681524419964,0.0775686517465985,0.00656054157281452,0.0118390153454614,0.0120602480251305,0.0120602480251305
"33","WBGene00019490","K07E3.1",0.000109551229697519,0.0556852220286722,-0.252971169717877,0.0653942404605911,6.82865049836315,0.0205065423808322,0.0012000162890102,0.000435256921368238,0.00521459373911621,0.00521459373911621
"34","WBGene00018573","oac-30",0.00012645424475741,0.0623865735753173,-0.683776331624799,0.178379672372244,3.88392380386771,0.159943627280672,0.021662718755141,0.00293553846184919,0.0260662425183027,0.0260662425183027
"35","WBGene00004218","ptr-3",0.000158002098193713,0.0757236341457529,-0.454527556527082,0.120304484776602,4.79470202874941,0.0724240783589462,0.00733255839768161,0.00572430218507108,0.0143771951883641,0.0143771951883641
"36","WBGene00009221","acs-2",0.000169160149515643,0.0788192318882053,-0.30652689865774,0.0814990241039038,5.9255217185368,0.0295014133938649,0.0024368816621047,-0.000794642270048485,0.00752625473272833,0.00752625473272833
"37","WBGene00044011","T06E4.12",0.000179287955019878,0.0812804366892821,-1.02630991931196,0.273935143354488,3.48249419906706,0.406042170461008,0.03362033497341,0.0789403591735554,0.035402438067926,0.0789403591735554
"38","WBGene00013167","Y53F4B.21",0.000189694795138143,0.083735276148611,-0.283861927140704,0.0760542911613909,6.68625114146361,0.0311143843488842,0.00121602718150268,0.00746035562458975,0.0054431527818161,0.00746035562458975
"40","WBGene00020160","igcm-3",0.000222561637106216,0.0890891250394605,-0.252354809394942,0.0683531477219448,6.78956727738448,0.0247114683116248,0.00104693471167099,0.00596129449357603,0.00527191619552677,0.00596129449357603
