"","ens_gene","target_id","pval","qval","b","se_b","mean","var","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"2","WBGene00020183","T03D3.5",1.46532492891725e-34,1.2289680178829e-30,1.00604733123966,0.0820520927547337,6.19893352369833,0.311718424918847,0.00243897363027041,0.00765984525787671,0.00661435516336025,0.00765984525787671
"3","WBGene00015577","ugt-64",4.11180567150404e-32,2.29904761112696e-28,0.719730192617375,0.0610167531315363,7.24578237684964,0.158095974092006,0.000758439862140456,0.00260719644097605,0.00482612638193182,0.00482612638193182
"5","WBGene00005025","sqv-7",4.51215851934823e-24,1.51373894007094e-20,0.594160967921493,0.05871256606814,8.0171807038883,0.109916620830379,0.000413644758030292,0.0045969103544173,0.00475710336342827,0.00475710336342827
"6","WBGene00010407","H19N07.3",1.76910957716254e-21,4.94584067455407e-18,0.794915363255665,0.0835189526881768,5.8879352590278,0.193734049962155,0.0027902545908325,0.00241839483440492,0.00767286859636237,0.00767286859636237
"9","WBGene00016890","lst-5",8.26230569811211e-15,1.53991017533481e-11,0.662255616025652,0.0853038439775366,5.82054671509742,0.135448555430342,0.00296497221822468,0.00187728421063515,0.00795014647779118,0.00795014647779118
"10","WBGene00022590","ZC317.7",1.66916026404565e-14,2.79984942691018e-11,0.660430508748396,0.0860625313815118,5.87850878696996,0.134379804046328,0.00339959804985157,0.00101198567593433,0.00771054091183897,0.00771054091183897
"14","WBGene00021160","gba-4",2.82880427766912e-06,0.00338931163954442,0.282866476278895,0.0604044603838692,7.66590194713629,0.0283824716218513,0.000404707977186244,0.00506834027421339,0.00469955362155012,0.00506834027421339
"18","WBGene00045265","K10C2.8",6.41996879311955e-06,0.00598681512697137,0.325437930033266,0.0721261713602229,6.40964115450083,0.0358582946483074,0.0017660663250473,0.0033406096212108,0.00603721056757906,0.00603721056757906
"24","WBGene00019197","H14A12.5",2.07210430670712e-05,0.0144822823502938,0.468965724686225,0.110164047381865,5.07775655543963,0.0730542193679558,0.00601006728881087,0.00283438782220549,0.0121941087145197,0.0121941087145197
"25","WBGene00044414","C06A5.12",2.18389436472301e-05,0.0146530576295455,0.723079872518234,0.170328437275048,4.43446555569566,0.191667482465767,0.0136122563827971,0.0299054084340426,0.0179608074025556,0.0299054084340426
"27","WBGene00010679","K08F4.5",3.03001178969211e-05,0.0188242288001094,0.393761364004572,0.0944000440524289,5.43401407666388,0.0524942218742297,0.00347049697272651,0.00400427595153316,0.00989655550292426,0.00989655550292426
"28","WBGene00006561","tcl-2",3.30858537601868e-05,0.0198207896776205,0.558217126179293,0.134474000498024,5.57678386227555,0.115181816159891,0.00351072408353583,0.023614161131378,0.00910765899739308,0.023614161131378
"29","WBGene00020349","T08B2.11",3.67168098687123e-05,0.02123750926682,0.771770849024997,0.186995127523832,5.83386481320623,0.220649686282614,0.0040313068326635,0.0484194597438177,0.00789387882718716,0.0484194597438177
"31","WBGene00011844","T19C9.8",4.44166011571832e-05,0.0240336796067933,0.604303032733654,0.147996812865055,4.3800214379254,0.131092724690585,0.0142374718202486,0.0126851257788229,0.0186171131070727,0.0186171131070727
"32","WBGene00007536","daf-36",0.000107300681099544,0.0556852220286722,0.253659821179693,0.0654866114798862,6.74102345111629,0.0233899257388367,0.00108390484774102,0.00402476299546233,0.00534883957693533,0.00534883957693533
"39","WBGene00016889","lst-6",0.000222421102079463,0.0890891250394605,0.236385726260339,0.0640249561578778,8.45713452589465,0.02168249748711,0.000171795051708852,0.0059769974648184,0.00494547993278991,0.0059769974648184
"41","WBGene00018250","F40H3.2",0.000218790632402827,0.0890891250394605,0.326446575707453,0.0883178477271773,5.79539612935282,0.0339259082179935,0.00364168360340835,-0.00119706087758718,0.00805837973733297,0.00805837973733297
