ens_gene,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
WBGene00013875,ZC376.3,9.13E-130,1.52E-125,-3.160022214,0.130381656,5.052934111,1.780515154,0.023347917,0.00247414,0.03331667,0.03331667
WBGene00018335,F42A9.6,3.87E-29,3.21E-25,-0.993645248,0.088682314,7.185737016,0.202949606,9.06E-04,0.025308813,0.020740038,0.025308813
WBGene00015577,ugt-64,4.81E-26,2.66E-22,0.848253805,0.080363594,7.265089794,0.219861785,8.96E-04,0.011261526,0.020631756,0.020631756
WBGene00020183,T03D3.5,8.93E-26,3.70E-22,0.973637343,0.092754682,5.957032147,0.16224488,0.003200525,0.008395648,0.025477578,0.025477578
WBGene00020408,T10D4.6,2.84E-21,9.42E-18,-1.18156439,0.124789221,6.884748986,0.408007796,0.001228668,0.050679165,0.021400703,0.050679165
WBGene00010407,H19N07.3,2.01E-16,5.56E-13,0.760256602,0.092472887,5.927240661,0.159975104,0.002838186,0.012175129,0.02566593,0.02566593
WBGene00016890,lst-5,1.55E-13,3.67E-10,0.717689299,0.097207433,5.621537543,0.102222231,0.003722344,0.023612295,0.027775272,0.027775272
WBGene00005025,sqv-7,4.58E-13,9.51E-10,0.575308516,0.079494214,7.873794969,0.065331766,4.27E-04,0.014334146,0.020637321,0.020637321
WBGene00020349,T08B2.11,5.36E-09,9.44E-06,0.678514627,0.116271308,5.767092061,0.125579445,0.004361273,0.040702117,0.026732881,0.040702117
WBGene00022590,ZC317.7,5.69E-09,9.44E-06,0.597366401,0.102540692,5.960654135,0.183601373,0.003924766,0.031123879,0.025454905,0.031123879
WBGene00012583,clec-4,6.37E-09,9.62E-06,-0.697122506,0.120056576,4.985682832,0.117333583,0.008481488,0.039563784,0.034070902,0.039563784
WBGene00045366,Y17D7C.3,1.75E-08,2.43E-05,-0.552432186,0.098042331,5.653728867,0.081965048,0.003900054,0.028140941,0.027539271,0.028140941
WBGene00043065,C55C3.7,3.35E-08,4.27E-05,-2.230881499,0.403987439,1.334766602,1.738647222,0.206742078,0.337277423,0.201192113,0.337277423
WBGene00044414,C06A5.12,1.28E-07,1.52E-04,0.696732658,0.13191261,4.334030605,0.111064267,0.017626369,0.019623351,0.040376753,0.040376753
WBGene00016953,C55C3.3,5.41E-07,5.99E-04,-0.965542354,0.192682049,5.179055257,0.399134572,0.006621245,0.117133329,0.031923601,0.117133329
WBGene00009397,clec-66,1.90E-05,0.019740911,-0.413224326,0.096639984,5.642655975,0.037779708,0.003510842,0.009025015,0.027620113,0.027620113
WBGene00010370,ctg-1,1.25E-04,0.122260599,-0.310489609,0.080949479,7.189532978,0.033267935,0.001108552,0.009271796,0.020734175,0.020734175
WBGene00019730,asns-2,1.55E-04,0.14296878,-0.323351385,0.085480021,6.461187739,0.030745823,0.001510514,0.015476775,0.022845599,0.022845599
WBGene00014173,ZK970.7,2.08E-04,0.18196261,0.841378627,0.226868584,3.549220497,0.2557281,0.031096113,0.140468402,0.052414801,0.140468402
WBGene00015752,C14B9.2,2.53E-04,0.209715537,0.290282994,0.079324626,7.785330188,0.032687502,4.18E-04,0.019441195,0.020556826,0.020556826
WBGene00017467,F14F9.4,2.70E-04,0.213107466,-0.374435081,0.102788228,5.345912985,0.034738761,0.00503352,0.008574519,0.030184547,0.030184547
WBGene00011330,T01D3.6,3.26E-04,0.245505876,-0.285266243,0.079370556,7.640156694,0.022154967,5.17E-04,0.010775658,0.020482063,0.020482063
WBGene00000373,cyp-14A5,3.90E-04,0.281685368,-0.316004403,0.089104307,6.155291664,0.037944708,0.002152937,0.017881769,0.024312322,0.024312322
