Gene name,Gene ID,Expression level
acbp-6,WBGene00012457,58419.94
K10C2.12,WBGene00206386,44364.51
ZC412.3,WBGene00013884,26747.12
mig-6,WBGene00003242,20906.99
F07H5.3,WBGene00014307,18733.841
unc-54,WBGene00006789,15491.595
rpl-12,WBGene00004424,15320.106
ndk-1,WBGene00009119,13251.103
rpl-7A,WBGene00004419,10891.553
eef-2,WBGene00001167,9254.025
F46H5.3,WBGene00018519,8172.392
ant-1.1,WBGene00006439,8110.359
F44E5.4,WBGene00009691,8033.065
F42C5.6,WBGene00018348,8019.748
F44E5.5,WBGene00009692,7596.941
eef-1G,WBGene00008920,7344.544
F58F9.1,WBGene00019055,7192.09
atp-6,WBGene00010960,7180.5
rla-1,WBGene00004409,7165.319
pqn-52,WBGene00019713,7064.832
mec-12,WBGene00003175,6889.855
hsp-90,WBGene00000915,6796.096
eef-1B.1,WBGene00018846,6505.119
ZK112.5,WBGene00022661,5870.177
rbm-3.2,WBGene00011156,5404.891
Y71H2B.1,WBGene00022191,5291.911
C32E8.6,WBGene00016324,5121.87
ctc-3,WBGene00010962,5050.039
sbt-1,WBGene00011392,4745.451
rpl-27,WBGene00004441,4723.334
R06C1.4,WBGene00011059,4333.462
rps-16,WBGene00004485,4333.039
acs-9,WBGene00020634,4325.889
F13H8.9,WBGene00017442,4249.885
pab-1,WBGene00003902,4199.583
his-37,WBGene00001911,4127.808
act-4,WBGene00000066,4126.382
ctc-1,WBGene00010964,4070.841
ins-30,WBGene00002113,4029.575
cle-1,WBGene00000527,3987.27
F49C12.10,WBGene00009879,3913.579
nduo-6,WBGene00010957,3894.382
flp-5,WBGene00001448,3800.283
hsp-16.41,WBGene00002018,3656.698
F09C12.6,WBGene00017278,3314.044
Y43F8B.2,WBGene00012813,3293.333
rrn-3.1,WBGene00004622,3239.734
eef-1A.1,WBGene00001168,3202.522
his-41,WBGene00001915,3101.106
ctc-2,WBGene00010965,3015.016
swt-3,WBGene00007384,2945.364
F22F4.5,WBGene00017718,2933.838
kmo-2,WBGene00011088,2906.058
tct-1,WBGene00009122,2895.863
pck-2,WBGene00011232,2858.341
rpl-17,WBGene00004429,2852.305
hsp-16.2,WBGene00002016,2661.54
rpl-41.2,WBGene00023068,2628.876
rpl-25.1,WBGene00004438,2549.501
T22F3.12,WBGene00044705,2454.178
aexr-1,WBGene00016089,2362.646
cwn-1,WBGene00000857,2332.835
T11B7.2,WBGene00011707,2206.615
pdi-2,WBGene00003963,2180.734
pghm-1,WBGene00022144,2175.306
rps-8,WBGene00004477,2123.654
nurf-1,WBGene00009180,2067.523
rps-25,WBGene00004494,2029.754
ZK112.6,WBGene00022662,1975.583
rps-23,WBGene00004492,1963.397
Y53F4B.45,WBGene00044728,1883.747
hsp-16.11,WBGene00002017,1872.52
hsp-70,WBGene00002026,1856.917
rps-20,WBGene00004489,1804.795
rps-11,WBGene00004480,1795.862
F39B2.8,WBGene00009558,1789.713
Y37E3.8,WBGene00021350,1788.291
C23H5.11,WBGene00044649,1769.897
F27C8.2,WBGene00009183,1764.461
Y47G6A.15,WBGene00021641,1758.153
ctb-1,WBGene00000829,1753.148
rpl-13,WBGene00004425,1722.697
rpl-32,WBGene00004446,1685.981
rpl-38,WBGene00004452,1679.594
rps-1,WBGene00004470,1663.942
pyp-1,WBGene00008149,1645.707
rpl-2,WBGene00004413,1637.684
rps-9,WBGene00004478,1630.113
rps-7,WBGene00004476,1622.968
rps-14,WBGene00004483,1616.753
atp-1,WBGene00010419,1604.904
rps-4,WBGene00004473,1591.698
ubq-2,WBGene00006728,1589.033
rpl-10,WBGene00004421,1560.117
cpi-2,WBGene00000534,1540.429
rpl-3,WBGene00004414,1517.799
